Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,25.6525,26.342501,25.5,26.3375,24.151501,270597600
1/5/2016,26.4375,26.4625,25.602501,25.6775,23.546272,223164000
1/6/2016,25.139999,25.592501,24.967501,25.174999,23.085484,273829600
1/7/2016,24.67,25.032499,24.1075,24.112499,22.111172,324377600
1/8/2016,24.637501,24.7775,24.190001,24.24,22.228086,283192000
1/11/2016,24.7425,24.764999,24.334999,24.6325,22.588011,198957600
1/12/2016,25.137501,25.172501,24.709999,24.99,22.915836,196616800
1/13/2016,25.08,25.297501,24.325001,24.3475,22.326666,249758400
1/14/2016,24.49,25.120001,23.934999,24.879999,22.81497,252680400
1/15/2016,24.049999,24.4275,23.84,24.282499,22.267059,319335600
1/19/2016,24.602501,24.6625,23.875,24.165001,22.159311,212350800
1/20/2016,23.775,24.547501,23.355,24.1975,22.189116,289337600
1/21/2016,24.264999,24.469999,23.735001,24.075001,22.076782,208646000
1/22/2016,24.657499,25.365,24.592501,25.355,23.250542,263202000
1/25/2016,25.379999,25.3825,24.8025,24.860001,22.796625,207178000
1/26/2016,24.9825,25.219999,24.5175,24.997499,22.922712,300308000
1/27/2016,24.01,24.157499,23.334999,23.355,21.41654,533478800
1/28/2016,23.4475,23.629999,23.0975,23.522499,21.570139,222715200
1/29/2016,23.6975,24.334999,23.5875,24.334999,22.315203,257666000
2/1/2016,24.1175,24.1775,23.85,24.1075,22.106586,163774000
2/2/2016,23.855,24.01,23.57,23.620001,21.659546,149428800
2/3/2016,23.75,24.209999,23.52,24.0875,22.088247,183857200
2/4/2016,23.965,24.3325,23.797501,24.15,22.265724,185886800
2/5/2016,24.129999,24.23,23.422501,23.504999,21.671047,185672400
2/8/2016,23.282499,23.924999,23.26,23.752501,21.89924,216085600
2/9/2016,23.5725,23.985001,23.4825,23.747499,21.894625,177324800
2/10/2016,23.98,24.0875,23.525,23.567499,21.728676,169374400
2/11/2016,23.4475,23.68,23.147499,23.424999,21.597288,200298800
2/12/2016,23.547501,23.625,23.252501,23.497499,21.664143,161405600
2/16/2016,23.754999,24.2125,23.6525,24.16,22.27494,196231600
2/17/2016,24.1675,24.5525,24.0375,24.530001,22.616081,179452800
2/18/2016,24.709999,24.7225,24.022499,24.065001,22.187363,156084000
2/19/2016,24,24.190001,23.950001,24.01,22.136644,141496800
2/22/2016,24.077499,24.225,23.98,24.219999,22.330261,137123200
2/23/2016,24.1,24.125,23.637501,23.672501,21.825478,127770400
2/24/2016,23.495001,24.094999,23.33,24.025,22.150478,145022800
2/25/2016,24.012501,24.190001,23.8125,24.190001,22.302608,110330800
2/26/2016,24.299999,24.504999,24.145,24.227501,22.337175,115964400
2/29/2016,24.215,24.557501,24.1625,24.172501,22.286469,140865200
3/1/2016,24.4125,25.192499,24.355,25.1325,23.171564,201628400
3/2/2016,25.127501,25.2225,24.91,25.1875,23.222279,132678400
3/3/2016,25.145,25.4275,25.112499,25.375,23.395144,147822800
3/4/2016,25.592501,25.9375,25.342501,25.752501,23.743195,184220400
3/7/2016,25.5975,25.7075,25.24,25.467501,23.480431,143315600
3/8/2016,25.195,25.440001,25.1,25.2575,23.286814,126247600
